text,locale,variations,tags,severity,adjective,adverb,collapseDoubles,filterMode,noun,replacePhonetics,verb,definition,entryIgnores
#,en,*,PII,medium,FALSE,FALSE,TRUE,nonEmbeddable,FALSE,TRUE,FALSE,,
( )( ),en,(+)(+);(.)(.);(.y.);.y.,Account;AsciiArt;Sexual,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,A picture of breasts,
( * ) ( * ),en,,Disney,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
(),en,,Disney,medium,FALSE,FALSE,TRUE,exactMatch,FALSE,TRUE,FALSE,,
(.),en,,AsciiArt;Disney,medium,FALSE,FALSE,TRUE,exactMatch,FALSE,TRUE,FALSE,,
(_),en,,Disney,medium,FALSE,FALSE,TRUE,exactMatch,FALSE,TRUE,FALSE,,
.  drinks pea,en,,Disney;Vulgarity,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
.!.,en,",!,;,!.;.!,;8=",AsciiArt;Sexual,medium,FALSE,FALSE,TRUE,nonEmbeddable,FALSE,TRUE,FALSE,Image of a penis.,
...and now we're coming to you live from downtown.,en,,Bullying;Places,mild,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
.at,de,,PII,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
.ca,fr,,PII,medium,TRUE,TRUE,TRUE,embeddable,TRUE,TRUE,TRUE,,
.ch,de,,PII,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
.com,da,,PII;Places,high,FALSE,FALSE,TRUE,exactMatch,TRUE,TRUE,FALSE,.com,
.com,de,,PII,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
.com,en,http;www,PII,medium,FALSE,FALSE,FALSE,embeddable,FALSE,TRUE,FALSE,Alternative to using the URL filter.,
.com,fr,,PII,medium,TRUE,TRUE,TRUE,embeddable,TRUE,TRUE,TRUE,,
.de,de,,PII,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
.fr,fr,,PII,medium,TRUE,TRUE,TRUE,embeddable,TRUE,TRUE,TRUE,,
.hitch,en,,Disney,medium,FALSE,FALSE,TRUE,exactMatch,FALSE,TRUE,FALSE,,
.i.,en,.l.;.|.,AsciiArt;Sexual,medium,FALSE,FALSE,TRUE,nonEmbeddable,FALSE,TRUE,FALSE,,
.is,en,,Disney,none,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
.net,de,,PII,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
.net,fr,,PII,medium,TRUE,TRUE,TRUE,embeddable,TRUE,TRUE,TRUE,,
