Word,Match Type,Language,Type,Severity,Substring Match,Language,Type,Severity,Substring Match,...
eddie1,not_exact,,,,die,en,Disney;Harm-Abuse;Threats,mild
DaerickWG,not_exact,,,,ck,en,Disney,mild
jackmack,not_exact,,,,ck,en,Disney,mild
hockey21man,not_exact,,,,ck,en,Disney,mild
InfiniTrees,not_exact,,,,ees,en,Alcohol-Drug,mild
Shotsy,not_exact,,,,hot,en,Sexual,mild
Mixelpick,not_exact,,,,ck,en,Disney,mild
givemeaname,not_exact,,,,ana,en,Sexual,mild
calibuckeye,not_exact,,,,ck,en,Disney,mild
BlackwoodJohnson,not_exact,,,,ck,en,Disney,mild
Godfather36,not_exact,,,,fat,en,Bullying,mild
Metalness,not_exact,,,,ln,en,Disney,none
Shafayet,not_exact,,,,ay,en,Disney,mild
Paddock,not_exact,,,,ck,en,Disney,mild
DDJJAY,not_exact,,,,ay,en,Disney,mild
3fishsticks,not_exact,,,,sticks,en,Sexual,mild,stick,en,Sexual,mild,ck,en,Disney,mild
SveinForkBeard,not_exact,,,,fork,en,Sexual,mild
playtime,not_exact,,,,ay,en,Disney,mild
Street Sharks,not_exact,,,,street,en,PII,mild
Randomaphone,not_exact,,,,phon,en,PII,mild,phone,en,PII,mild
cutiepanda,not_exact,,,,panda,en,Disney,none
QuantumKicker,not_exact,,,,ck,en,Disney,mild
Murray,not_exact,,,,ay,en,Disney,mild
MonkeyBuzz,not_exact,,,,monkey,en,Vulgarity,mild
DaerickG,not_exact,,,,ck,en,Disney,mild
sparkrodney,not_exact,,,,rod,en,Sexual,mild
HotPantsMcGee,not_exact,,,,hot,en,Sexual,mild
Blobabee,not_exact,,,,lob,en,Vulgarity,mild
Gizmo Duck,not_exact,,,,ck,en,Disney,mild
Fat_Digester,not_exact,,,,fat,en,Bullying,mild
calicoblock,not_exact,,,,lic,en,Sexual,mild,ck,en,Disney,mild
manarchy,not_exact,,,,anarchy,en,Threats,none,ana,en,Sexual,mild
kboogy,not_exact,,,,oogy,en,Vulgarity,mild
lees301,not_exact,,,,ees,en,Alcohol-Drug,mild
Phoebles,not_exact,,,,hoe,en,Bullying;Sexual,mild
SocalShock,not_exact,,,,ck,en,Disney,mild
Rickeys_the_best,not_exact,,,,ck,en,Disney,mild
Jamawalk73,not_exact,,,,alk,en,Alcohol-Drug,mild
jetpackman,not_exact,,,,ck,en,Disney,mild
JacksonCubed,not_exact,,,,bed,en,Grooming,mild,ck,en,Disney,mild
Esjay,not_exact,,,,ay,en,Disney,mild
calicoazi,not_exact,,,,lic,en,Sexual,mild
Manatee527,not_exact,,,,ana,en,Sexual,mild
RedBrickGuy,not_exact,,,,ck,en,Disney,mild
LungstrumFam,not_exact,,,,rum,en,Alcohol-Drug,mild
htfdwlfpack,not_exact,,,,ck,en,Disney,mild
SDiehl,not_exact,,,,die,en,Disney;Harm-Abuse;Threats,mild
Mariana,not_exact,,,,ana,en,Sexual,mild
Tuckenie,not_exact,,,,ck,en,Disney,mild
Barry55,not_exact,,,,bar,en,Bullying,mild
walks028,not_exact,,,,alk,en,Alcohol-Drug,mild
coldwillie,not_exact,,,,willie,en,Sexual,mild
Jrodmxs,not_exact,,,,rod,en,Sexual,mild
BabyAutum,not_exact,,,,baby,en,Grooming,mild
Meggipoo,not_exact,,,,poo,en,Vulgarity,mild
VanAB001,not_exact,,,,ana,en,Sexual,mild
HotShotNate1130,not_exact,,,,hot,en,Sexual,mild
SuperNerd30,not_exact,,,,nerd,en,Bullying,mild
Aliasbuck,not_exact,,,,ck,en,Disney,mild
danceshoe18,not_exact,,,,hoe,en,Bullying;Sexual,mild
TheWarnerPack,not_exact,,,,ck,en,Disney,mild
SAPP3R,not_exact,,,,sap,en,Vulgarity,mild
BlueDog,not_exact,,,,dog,en,Vulgarity,mild
MinMay02,not_exact,,,,ay,en,Disney,mild
Mbarnett42,not_exact,,,,bar,en,Bullying,mild
Bozo,exact,en,Vulgarity,mild
BRICKMAN,not_exact,,,,ck,en,Disney,mild
JonRick,not_exact,,,,ck,en,Disney,mild
arlenegetman,not_exact,,,,neg,en,Disney,none
Snake,exact,en,Disney;Sexual,mild
hasselhoth,not_exact,,,,sse,en,Disney;Sexual,mild,hot,en,Sexual,mild
Prickly_Pear,not_exact,,,,ck,en,Disney,mild
jaimsicles,not_exact,,,,aim,en,PII,mild
goofyallday,not_exact,,,,goof,en,Vulgarity,mild,ay,en,Disney,mild
kumbaric,not_exact,,,,bar,en,Bullying,mild
grubm012,not_exact,,,,rub,en,Sexual,mild
Vunderbar,not_exact,,,,bar,en,Bullying,mild
applecider12001,not_exact,,,,cide,en,Disney,mild
plumcider12001,not_exact,,,,cide,en,Disney,mild
ImOnlyRicky,not_exact,,,,ck,en,Disney,mild
EddieMoore,not_exact,,,,die,en,Disney;Harm-Abuse;Threats,mild
Shamrockk80,not_exact,,,,ck,en,Disney,mild
Marck,not_exact,,,,ck,en,Disney,mild
hardawaygirl94,not_exact,,,,irl,en,Grooming;PII,mild,ay,en,Disney,mild
Fatma0,not_exact,,,,fat,en,Bullying,mild
YUKKITERU,not_exact,,,,kit,en,Grooming;Sexual,mild
StarGirl13,not_exact,,,,irl,en,Grooming;PII,mild
UtBecky01,not_exact,,,,ck,en,Disney,mild
haukilahti,not_exact,,,,kil,en,Bullying,mild
edockx,not_exact,,,,ck,en,Disney,mild
Pooky87,not_exact,,,,poo,en,Vulgarity,mild
raydeeoh,not_exact,,,,ay,en,Disney,mild
pillbet,not_exact,,,,pill,en,Alcohol-Drug,mild
kellygm87,not_exact,,,,kell,en,Bullying,mild
Goofey99,not_exact,,,,goof,en,Vulgarity,mild
Nickhil16,not_exact,,,,ck,en,Disney,mild
buddyrich01,not_exact,,,,bud,en,Alcohol-Drug,mild
micky1692,not_exact,,,,ck,en,Disney,mild
bigbricksfilms,not_exact,,,,ck,en,Disney,mild
Anthonut,not_exact,,,,nut,en,Vulgarity,mild
Buzzthebatgirl,not_exact,,,,irl,en,Grooming;PII,mild
antikewl,not_exact,,,,anti,en,Disney,mild
Catskitcats,not_exact,,,,kit,en,Grooming;Sexual,mild
frytaleprncss,not_exact,,,,ale,en,Alcohol-Drug,mild
sukitabr,not_exact,,,,kit,en,Grooming;Sexual,mild
DippyDog1932,not_exact,,,,dippy,en,Vulgarity,mild,dog,en,Vulgarity,mild
djay22,not_exact,,,,ay,en,Disney,mild
Franbedec,not_exact,,,,bed,en,Grooming,mild
