Word,Match Type,Language,Type,Severity,Substring Match,Language,Type,Severity,Substring Match,...
���goldnuts1,not_exact,,,,nut,en,Vulgarity,mild,nuts,en,Sexual,mild
dickbag,not_exact,,,,ck,en,Disney,mild
jackDaniels007,not_exact,,,,ck,en,Disney,mild
ballardgayle,not_exact,,,,gay,en,Bullying,mild,ay,en,Disney,mild
Playdom_JD,not_exact,,,,ay,en,Disney,mild
CherryTree8D,not_exact,,,,cherry,en,Grooming;Sexual,mild
steenchris,not_exact,,,,teen,en,Disney;Sexual,mild
dg_eastbay,not_exact,,,,ay,en,Disney,mild
LnD_Rover,not_exact,,,,ln,en,Disney,none
KasimusKlay,not_exact,,,,ay,en,Disney,mild
NaBassalobre,not_exact,,,,lob,en,Vulgarity,mild
justinbrock,not_exact,,,,ck,en,Disney,mild
KatieKay,not_exact,,,,ay,en,Disney,mild
tknutson92,not_exact,,,,nut,en,Vulgarity,mild,nuts,en,Sexual,mild
Donna_Mackay,not_exact,,,,ck,en,Disney,mild,ay,en,Disney,mild
stupidhead,not_exact,,,,stupid,en,Bullying,mild
Dickfl,not_exact,,,,ck,en,Disney,mild
bigdickjones,not_exact,,,,ck,en,Disney,mild
IKanaIK,not_exact,,,,ana,en,Sexual,mild
AJBoneGirl,not_exact,,,,neg,en,Disney,none,irl,en,Grooming;PII,mild
CaptainJack95,not_exact,,,,ck,en,Disney,mild
PeterSchmidt,not_exact,,,,peter,en,Microsoft,mild
nandaqueiroga,not_exact,,,,daq,en,Bullying,mild
Bloody_Scallywag,not_exact,,,,blood,en,Violence,mild
ShaimaSparrow,not_exact,,,,aim,en,PII,mild
GimbalLocker,not_exact,,,,ck,en,Disney,mild
RickMax,not_exact,,,,ck,en,Disney,mild
GuidoRosalie,not_exact,,,,guido,en,Bigotry-Racism,mild
CaptnJack,not_exact,,,,ck,en,Disney,mild
eHoewell,not_exact,,,,hoe,en,Bullying;Sexual,mild
GleekLobato,not_exact,,,,lob,en,Vulgarity,mild
Veryblessedgirl,not_exact,,,,irl,en,Grooming;PII,mild,sse,en,Disney;Sexual,mild
PvtZero,not_exact,,,,zero,en,Vulgarity,mild
miguelmccormick,not_exact,,,,ck,en,Disney,mild
CaptainSparrowJack,not_exact,,,,ck,en,Disney,mild
DianaHSmith,not_exact,,,,ana,en,Sexual,mild
Savanahmckee01  ,not_exact,,,,ana,en,Sexual,mild,ck,en,Disney,mild
bomerlaxer,not_exact,,,,bom,en,Harm-Abuse;Threats,mild,axe,en,Violence,mild
FounderOdo,not_exact,,,,rod,en,Sexual,mild
PTGameGeek,not_exact,,,,geek,en,Vulgarity,mild
_redpanda,not_exact,,,,panda,en,Disney,none
tonysgirl4ever102712,not_exact,,,,irl,en,Grooming;PII,mild
wickedfan2012,not_exact,,,,ck,en,Disney,mild
lnzdrm,not_exact,,,,ln,en,Disney,none
hijklwalker,not_exact,,,,alk,en,Alcohol-Drug,mild
toynutz,not_exact,,,,nut,en,Vulgarity,mild
poowalla,not_exact,,,,poo,en,Vulgarity,mild
lscavalcanti,not_exact,,,,anti,en,Disney,mild
mayorarrex,not_exact,,,,ay,en,Disney,mild
ChiaYuHsu,not_exact,,,,ay,en,Disney,mild
chaacke,not_exact,,,,ck,en,Disney,mild
crazymaciemonkey12,not_exact,,,,monkey,en,Vulgarity,mild
amyhayes,not_exact,,,,ay,en,Disney,mild
Duckymomo,not_exact,,,,ck,en,Disney,mild
jayteez,not_exact,,,,ay,en,Disney,mild
Walt_Disney_Rocks,not_exact,,,,ck,en,Disney,mild
stefke,not_exact,,,,fk,en,Vulgarity,mild
T_Fay9,not_exact,,,,ay,en,Disney,mild
diedy,not_exact,,,,died,en,Disney;Harm-Abuse;Threats,mild,die,en,Disney;Harm-Abuse;Threats,mild
MickeyJer,not_exact,,,,ck,en,Disney,mild
JamieJayC,not_exact,,,,ay,en,Disney,mild
LuizaBarrocas,not_exact,,,,bar,en,Bullying,mild
black family,not_exact,,,,ck,en,Disney,mild
MaleficentsDiablo,not_exact,,,,ale,en,Alcohol-Drug,mild
Capt Jack Sparrow,not_exact,,,,ck,en,Disney,mild
andrew__barker,not_exact,,,,bar,en,Bullying,mild
LeoMenegazzo,not_exact,,,,neg,en,Disney,none
ricardosbarbosa,not_exact,,,,bar,en,Bullying,mild
ZORANAYE,not_exact,,,,ana,en,Sexual,mild,ay,en,Disney,mild
DaanInTheHouse,not_exact,,,,house,en,PII,mild
Jack Sparrow,not_exact,,,,ck,en,Disney,mild
dickylou711,not_exact,,,,ck,en,Disney,mild
barmy4u,not_exact,,,,bar,en,Bullying,mild
tatiana_jade,not_exact,,,,ana,en,Sexual,mild
miffy,not_exact,,,,iffy,en,Vulgarity,mild,miff,en,Vulgarity,mild
tana290103,not_exact,,,,ana,en,Sexual,mild
Alexparrow,not_exact,,,,ale,en,Alcohol-Drug,mild
Passeri,not_exact,,,,sse,en,Disney;Sexual,mild,pas,en,Disney,none
telefabster,not_exact,,,,tele,en,PII,mild
Amybabyit,not_exact,,,,baby,en,Grooming,mild
nickjonasfg,not_exact,,,,ck,en,Disney,mild
MSGK101,not_exact,,,,msg,en,PII,mild
aalexzebley,not_exact,,,,ale,en,Alcohol-Drug,mild
Elefantenegro,not_exact,,,,neg,en,Disney,none
donkeyhead69,not_exact,,,,donkey,en,Vulgarity,mild
Hotgrlinlove ,not_exact,,,,hot,en,Sexual,mild
shit,exact,en,Microsoft;Vulgarity,high
ClaudiaPalmeira,not_exact,,,,pal,en,Grooming,mild
NicoUnionStreet,not_exact,,,,street,en,PII,mild
Nay_Nay,not_exact,,,,ay,en,Disney,mild
JackSparrow,not_exact,,,,ck,en,Disney,mild
Kelly_heloisa,not_exact,,,,kell,en,Bullying,mild
forkroot,not_exact,,,,root,en,Vulgarity,mild,fork,en,Sexual,mild
jack93_oeja,not_exact,,,,ck,en,Disney,mild
Negas88,not_exact,,,,neg,en,Disney,none
JulianeTakayanagi,not_exact,,,,ana,en,Sexual,mild,ay,en,Disney,mild
alejososa464,not_exact,,,,ale,en,Alcohol-Drug,mild
the615hotfoot,not_exact,,,,hot,en,Sexual,mild
Davis24Taylor,not_exact,,,,ay,en,Disney,mild
DavosSeaworth,not_exact,,,,sse,en,Disney;Sexual,mild
Lorraynewentz,not_exact,,,,ay,en,Disney,mild
baris1durak1,not_exact,,,,bar,en,Bullying,mild
