Word,Match Type,Language,Type,Severity,Substring Match,Language,Type,Severity,Substring Match,...
LnD_Rover,not_exact,,,,ln,en,Disney,none
AJBoneGirl,not_exact,,,,neg,en,Disney,none
_redpanda,not_exact,,,,panda,en,Disney,none
lnzdrm,not_exact,,,,ln,en,Disney,none
LeoMenegazzo,not_exact,,,,neg,en,Disney,none
Passeri,not_exact,,,,pas,en,Disney,none
Elefantenegro,not_exact,,,,neg,en,Disney,none
shit,exact,en,Microsoft;Vulgarity,high
Negas88,not_exact,,,,neg,en,Disney,none
Andreguin19,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
zackswager,not_exact,,,,swag,en,Disney,none
panda,exact,en,Disney,none
herryballswag01,not_exact,,,,swag,en,Disney,none
Skylar_monique,not_exact,,,,niq,en,Bigotry-Racism;Microsoft;Vulgarity,high
NiecyMonique,not_exact,,,,niq,en,Bigotry-Racism;Microsoft;Vulgarity,high
xXxNegroxXx,not_exact,,,,neg,en,Disney,none
oscar_fuquen,not_exact,,,,fuqu,en,Microsoft;Vulgarity,high,fuq,en,Microsoft;Vulgarity,high,fuque,en,Microsoft;Vulgarity,high
FlorcitaCortez,not_exact,,,,taco,en,Disney,none
anton_fokus,not_exact,,,,fok,en,Vulgarity,high
infiniteniqqa,not_exact,,,,niqqa,en,Bigotry-Racism;Microsoft;Vulgarity,high,niq,en,Bigotry-Racism;Microsoft;Vulgarity,high
ANGELNEGRONI,not_exact,,,,neg,en,Disney,none,ln,en,Disney,none
c1GzcwfLNnKc,not_exact,,,,ln,en,Disney,none
niqitoignacio,not_exact,,,,niq,en,Bigotry-Racism;Microsoft;Vulgarity,high
anis.issa.16@facebook.tn,not_exact,,,,.is,en,Disney,none
carlos gabriel passacqua,not_exact,,,,pas,en,Disney,none
ShitBricks,not_exact,,,,shit,en,Microsoft;Vulgarity,high
qwertyuiopasdfghjklzxcvbnm,not_exact,,,,pas,en,Disney,none
jlfUK,not_exact,,,,fuk,en,Vulgarity,high
thatoneguyyoulike,not_exact,,,,neg,en,Disney,none
ThomasTheLilNigga,not_exact,,,,ln,en,Disney,none,nigga,en,Bigotry-Racism;Microsoft;Vulgarity,high
SwaggKing_Duke,not_exact,,,,swag,en,Disney,none
arielnu̱ezdavila,not_exact,,,,ln,en,Disney,none
FFUK318adult,not_exact,,,,fuk,en,Vulgarity,high
Maximiliano Magdalena,not_exact,,,,no ma,en,Disney,none
mehaboob,not_exact,,,,meh,en,Disney,none
joelnolasco,not_exact,,,,ln,en,Disney,none
pleasehurturself,not_exact,,,,urself,en,Disney,none
pleasehurtyourself,not_exact,,,,urself,en,Disney,none
Sexy Panda,not_exact,,,,panda,en,Disney,none
tsmooth526,not_exact,,,,smooth,en,Disney,none
danyeswag8,not_exact,,,,swag,en,Disney,none
negrao_2,not_exact,,,,neg,en,Disney,none
deadpandax,not_exact,,,,panda,en,Disney,none
JesseJacksome,not_exact,,,,ejac,en,Grooming;Microsoft;Sexual,high
KatherineGregg,not_exact,,,,neg,en,Disney,none
Jack_fan1988,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
AntonioMiguelNangca,not_exact,,,,ln,en,Disney,none
carlyaveryemmitt,not_exact,,,,mitt,en,Disney,none
negros,not_exact,,,,neg,en,Disney,none
PASSATEMPObrinquedoteca,not_exact,,,,pas,en,Disney,none
WhatInTheFahksName,not_exact,,,,fahk,en,Vulgarity,high
natacorriente,not_exact,,,,taco,en,Disney,none
PH1LDISHATERZ,not_exact,,,,shat,en,Microsoft;Vulgarity,high
ZaneGageClouse,not_exact,,,,neg,en,Disney,none
kaylafeltch,not_exact,,,,feltch,en,Microsoft;Sexual;Vulgarity,high
swagg girl bad,not_exact,,,,swag,en,Disney,none
SurfTaco87^_^,not_exact,,,,taco,en,Disney,none
swaggkilla13,not_exact,,,,swag,en,Disney,none
hollyshit,not_exact,,,,shit,en,Microsoft;Vulgarity,high
swaggerjaykay242$$,not_exact,,,,swag,en,Disney,none
swaggmaster,not_exact,,,,swag,en,Disney,none
NotFoKidz,not_exact,,,,fok,en,Vulgarity,high
Saif maharmeh,not_exact,,,,meh,en,Disney,none
SWAG-MAN69,not_exact,,,,swag,en,Disney,none
ijustgotswag27,not_exact,,,,swag,en,Disney,none
SweatMySwag19,not_exact,,,,swag,en,Disney,none
JamesRocker,not_exact,,,,rocker,en,Disney,none
swaggawade42,not_exact,,,,swag,en,Disney,none
PhalcoNigru,not_exact,,,,nigr,en,Bigotry-Racism;Microsoft;Vulgarity,high
Ishita,not_exact,,,,shit,en,Microsoft;Vulgarity,high
swagger_4_life,not_exact,,,,swag,en,Disney,none
Fuckt[A]rd,not_exact,,,,fuck,en,Microsoft;Vulgarity,high,fuc,en,Vulgarity,high
Fucking AweSome,not_exact,,,,fuck,en,Microsoft;Vulgarity,high,fuc,en,Vulgarity,high
mittabomb,not_exact,,,,mitt,en,Disney,none
Jared banegas,not_exact,,,,neg,en,Disney,none
Jakemckeon1990,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
Stinkyshytt,not_exact,,,,shyt,en,Microsoft;Vulgarity,high
pussy eater,not_exact,,,,pussy,en,Microsoft;Sexual,high
yoyolonegro,not_exact,,,,neg,en,Disney,none
