text,locale,variations,tags,severity,adjective,adverb,collapseDoubles,filterMode,noun,replacePhonetics,verb,definition,entryIgnores
#,en,*,PII,medium,false,false,true,nonEmbeddable,false,true,false,,
( )( ),en,(+)(+);(.)(.);(.y.);.y.,Account;AsciiArt;Sexual,medium,false,false,true,embeddable,false,true,false,A picture of breasts,
( * ) ( * ),en,,Disney,medium,false,false,true,embeddable,false,true,false,,
(),en,,Disney,medium,false,false,true,exactMatch,false,true,false,,
(.),en,,AsciiArt;Disney,medium,false,false,true,exactMatch,false,true,false,,
(_),en,,Disney,medium,false,false,true,exactMatch,false,true,false,,
.  drinks pea,en,,Disney;Vulgarity,medium,false,false,true,embeddable,false,true,false,,
.!.,en,",!,;,!.;.!,;8=",AsciiArt;Sexual,medium,false,false,true,nonEmbeddable,false,true,false,Image of a penis.,
...and now we're coming to you live from downtown.,en,,Bullying;Places,mild,false,false,true,embeddable,false,true,false,,
.at,de,,PII,medium,false,false,true,embeddable,false,true,false,,
.ca,fr,,PII,medium,true,true,true,embeddable,true,true,true,,
.ch,de,,PII,medium,false,false,true,embeddable,false,true,false,,
.com,da,,PII;Places,high,false,false,true,exactMatch,true,true,false,.com,
.com,de,,PII,medium,false,false,true,embeddable,false,true,false,,
.com,en,http;www,PII,medium,false,false,false,embeddable,false,true,false,Alternative to using the URL filter.,
.com,fr,,PII,medium,true,true,true,embeddable,true,true,true,,
.de,de,,PII,medium,false,false,true,embeddable,false,true,false,,
.fr,fr,,PII,medium,true,true,true,embeddable,true,true,true,,
.hitch,en,,Disney,medium,false,false,true,exactMatch,false,true,false,,
.i.,en,.l.;.|.,AsciiArt;Sexual,medium,false,false,true,nonEmbeddable,false,true,false,,
.is,en,,Disney,none,false,false,true,embeddable,false,true,false,,
.net,de,,PII,medium,false,false,true,embeddable,false,true,false,,
.net,fr,,PII,medium,true,true,true,embeddable,true,true,true,,
.org,de,,PII,medium,false,false,true,embeddable,false,true,false,,
.org,fr,,PII,medium,true,true,true,embeddable,true,true,true,,
08      d ~~~~~~~,en,,AsciiArt;Disney,medium,false,false,true,embeddable,false,true,false,,
1,en,0;2;3;4;5;6;7;8;9,Numbers,medium,false,false,true,embeddable,false,true,false,,360;3ds;bb8;playstation3;ps3;xbox360
1 year old,en,,Disney;PII,medium,false,false,true,embeddable,false,true,false,,
10 year old,en,,Disney;PII,medium,false,false,true,embeddable,false,true,false,,
11 year old,en,,Disney;PII,medium,false,false,true,embeddable,false,true,false,,
110,en,,Disney;PII,medium,false,false,true,embeddable,false,true,false,,
110mb,en,,Disney;PII,medium,false,false,true,embeddable,false,true,false,address in state or province MB (Manitoba),
12 year old,en,,Disney;PII,medium,false,false,true,embeddable,false,true,false,,
