text,locale,variations,tags,severity,adjective,adverb,collapseDoubles,filterMode,noun,replacePhonetics,verb,definition,entryIgnores
tisper, no, tisp;tispenes;tisper;tispers;tispes, Microsoft;Vulgarity, severe, false, false, false, embeddable, true, false, false, bitch
gespot, de, g spot;geh spot;gehspot;gespot, Sexual, medium, false, false, true, embeddable, true, true, false, 
descabaçar, pt, , Sexual, medium, false, false, true, embeddable, false, true, true, 
fjåse, no, , Bullying, mild, false, false, false, embeddable, true, false, false, sillyhead
thomaston, es, , Places, medium, false, false, false, nonEmbeddable, false, false, false, Ciudad de Alabama.
fudidão, pt, fudidinha;fudidinho;fudidoes;fudidona;fudidão;fudidões, Disney, high, false, false, true, embeddable, true, true, false, 
ランコウ, ja, rankou;らんこう;ランコウ, Microsoft;Sexual;Vulgarity, high, false, false, true, embeddable, false, true, false, orgy; group sex
jew, ja, jew;ju;ジュー, Bigotry-Racism, medium, false, false, true, embeddable, false, true, false, Jew; Jewish; derogatory
middletown, es, , Places, medium, false, false, false, nonEmbeddable, false, false, false, Ciudad de Connecticut.
さんぴー, ja, 3p;3ぴー;3ピー;sanpi;さんp;さんピー;サンp;サンぴー;サンピー;三p;三ぴー;三ピー;３pをする, Microsoft;Sexual;Vulgarity, severe, false, false, true, embeddable, false, true, false, Sex involving three people.
sogamoso, es, , Places, medium, false, false, false, nonEmbeddable, false, false, false, City in Colombia
jipijapa, es, , Places, medium, false, false, false, nonEmbeddable, false, false, false, City in ECUADOR
chaira, es, ario;arrivista;asshole;balurdo;bastardo;bebota;befa;bitch;blade;blenorrea;bobita;bobito;bode;bofe;boludito;borrero;bostero;braguetero;broca;bruto;buey;bugarrón;cabrado;cacreca;cafiche;cagado;cagueta;cagón;calato;carechimba;castrado;cerda;cerdo;cerote;chacha;chacho;chafalote;chaira;chancha;chanchita;chancho;chcuhumeca;chichona;chimar;chirrete;chirri;chivo;chocote;cholo;choncha;choncho;chopo;choro;chucha;chucho;chuchumeca;chuco;chumino;chunchurria;chupete;cipotón;cochón;colero;comemierda;corroncho;descojono;desgraciado;desmadrado;dot;dxk;déspota;enano;escoria;estúpido;fachita;fea;felpudita;feo;firro;fofa;fofo;fregado;frijolero;fuck;fundillo;gabacho;gamin;garnufia;gigolo;golli;golly;gonochachurria;gonochanchurria;gorda;gordo;gorsovia;greengo;gringo;guaca;guache;guacho;guanajo;guano;guevon;herofilo;hinchapelotas;hocicón;huacha;huachos;huevada;iguazo;imbecil;inepto;infradotado;inga tu;insultar;insultos;jaina;lambehuevos;lamehuevos;lechera;lechero;lechona;lechón;limada;lujuria;lujurioso;maldito;malnacida;malnacido;maniaco;marrano;marranoa;menso;mocha;mocho;mocoso;moro;naca;nalgas;negro;nigger;ogt;ouerco;pacaya;papanatas;pargo;partes nobles;pashpa;pechoca;pelotudo;pepa;perverso;pesquesuda;petiso;pichurria;piojoso;piricuaro;pirula;pisto;pitaya;plebe;pocho;pogo;potorro;puerca;puerco;punga;putón;puñetero;rata;retrasado;rosquero;shit;sinfiate;sisimite;sorcho;soreco;soreta;sorete;soretear;suato;subnormal;sucia;síndrome de down;tayudo;tetona;tolete;tonta;tontita;tontito;tonto;troncho;trunco;tungo;turro;uache;uacho;vergajo;wache;wey;wogg;yegua;yesco;zopenco;zorrón;ñanga;ñero, Bullying;Microsoft, medium, false, false, true, embeddable, true, true, true, , echo;orro;syndrome;síndrome;tonto
ibarra, es, , Places, medium, false, false, false, nonEmbeddable, false, false, false, City in ECUADOR
puñeta, es, , Disney;Microsoft, medium, false, false, true, embeddable, true, true, false, 
islamiste, fr, islamique;islamiste, Bigotry-Racism, medium, true, true, true, embeddable, true, true, true, 
сисеч, ru, сисеч;титьк, Vulgarity, severe, false, false, true, embeddable, true, true, false, 
capiroto, pt, , Bullying, medium, false, false, true, embeddable, true, true, false, 
puñete, es, , Microsoft, medium, false, false, true, embeddable, false, true, false, 
sjuske, no, sjuske, Microsoft, medium, false, false, false, embeddable, true, true, false, 
