text,locale,variations,tags,severity,adjective,adverb,collapseDoubles,filterMode,noun,replacePhonetics,verb,definition,entryIgnores
#,en,*,PII,medium,false,false,true,nonEmbeddable,false,true,false,,
( )( ),en,(+)(+);(.)(.);(.y.);.y.,Account;AsciiArt;Sexual,medium,false,false,true,embeddable,false,true,false,A picture of breasts,
( * ) ( * ),en,,Disney,medium,false,false,true,embeddable,false,true,false,,
(),en,,Disney,medium,false,false,true,exactMatch,false,true,false,,
(.),en,,AsciiArt;Disney,medium,false,false,true,exactMatch,false,true,false,,
(_),en,,Disney,medium,false,false,true,exactMatch,false,true,false,,
.  drinks pea,en,,Disney;Vulgarity,medium,false,false,true,embeddable,false,true,false,,
.!.,en,",!,;,!.;.!,;8=",AsciiArt;Sexual,medium,false,false,true,nonEmbeddable,false,true,false,Image of a penis.,
...and now we're coming to you live from downtown.,en,,Bullying;Places,mild,false,false,true,embeddable,false,true,false,,
자지,ko,,Microsoft,medium,false,false,true,embeddable,false,true,false,,
잘난 새끼,ko,,Microsoft,medium,false,false,true,embeddable,false,true,false,,
젖탱이,ko,,Microsoft,medium,false,false,true,embeddable,false,true,false,,
좆,ko,,Microsoft,medium,false,false,true,embeddable,false,true,false,,
좆같은,ko,,Microsoft,medium,false,false,true,embeddable,false,true,false,,
지랄맞은,ko,,Microsoft,medium,false,false,true,embeddable,false,true,false,,
창녀,ko,,Microsoft,medium,false,false,true,embeddable,false,true,false,,
첩,ko,,Microsoft,medium,false,false,true,embeddable,false,true,false,,
화냥년,ko,,Microsoft,medium,false,false,true,embeddable,false,true,false,,
你老母,zh,,Microsoft,medium,false,false,true,embeddable,false,true,false,,
