Word,Flags,Blacklist,Sample % positive
ass,35638,yes,6
420,21480,yes,1
butt,5257,yes,7
cock,3664,yes,11
poop,1590,yes,41
rape,1279,yes,11
shit,1172,yes,27
fag,983,yes,11
bitch,691,yes,99
badass,537,yes,100
tits,426,yes,89
pussy,261,yes,86
piss,205,yes,79
fuq,203,yes,10
satan,185,yes,87
nipple,134,yes,96
porn,130,yes,86
whore,119,yes,98
sperm,103,yes,34
suicide,80,yes,100
cunt,67,yes,96
penis,59,yes,97
omfg,51,yes,94
biotch,50,yes,100
boobies,46,yes,97
spooge,40,yes,100
testicle,24,yes,100
bytch,15,yes,100
